Date,NYC.New.Positive,NYC.Total.Positive,NYC.New.Tested,NYC.Total.Tested,NYC.New.Hospitolized,NYC.Total.Hospitolized,NYC.New.Death,NYC.Total.Death,NYS.New.Positive,NYS.Total.Positive,NYS.New.Tested,NYS.Total.Tested,NYS.New.Hospitolized,NYS.Total.Hospitolized,NYS.New.Death,NYS.Total.Death,LIC.New.Positive,LIC.Total.Positive,LIC.New.Tested,LIC.Total.Tested,LIC.New.Hospitolized,LIC.Total.Hospitolized,LIC.New.Death,LIC.Total.Death,ColumbiaUniv.New.Positive,ColumbiaUniv.Total.Positive,ColumbiaUniv.New.Tested,ColumbiaUniv.Total.Tested,ColumbiaUniv.New.Hospitolized,ColumbiaUniv.Total.Hospitolized,ColumbiaUniv.New.Death,ColumbiaUniv.Total.Death
3/30/20,3685,37453,6201,79305,,,,,6984,66497,14108,186468,2507,,332,1550,,,,,,,,,,,,,,,,
3/31/20,5686,43139,9882,89187,,,,,9298,75795,18718,205186,2844,,391,1941,,,,,,,,,,,,,,,,
4/1/20,4300,47439,7341,96528,,,,,7917,83712,15694,220880,2857,,432,2373,,148,,320,,,,,,170,,422,,,,
4/2/20,4370,51809,7513,104041,,,,,8669,92381,18085,238965,3413,,562,2935,,,,,,,,,,,,,,,,
4/3/20,5350,57159,9363,113404,,,,,10482,102863,21555,260520,3261,,630,3565,,201,,417,,,,,,224,,504,,,,
4/4/20,6147,63306,11248,124652,,,,,10841,113704,23101,283621,2821,,594,4159,,214,,439,,,,,,250,,540,,,,
4/5/20,4245,67551,7814,132466,,,,,8327,122031,18659,302280,2082,,599,4758,,232,,470,,,,,,267,,565,,,,
4/6/20,4630,72181,8133,140599,,,,,8658,130689,18531,320811,2553,,731,5489,,,,,,,,,,,,,,,,
4/7/20,4695,76876,8959,149558,,,,,8174,138863,19247,340058,3034,,779,6268,,258,,520,,,,,,327,,657,,,,
4/8/20,4927,81803,10572,160130,,,,,10453,149316,25095,365153,2848,,799,7067,,265,,537,,,,,,346,,696,,,,
4/9/20,5225,87028,10696,170826,,,,,10621,159937,26396,391549,2882,,777,7844,,298,,580,,,,,,389,,751,,,,
4/10/20,5356,92384,11027,181853,,,,,10575,170512,26336,417885,2486,,783,8627,,315,,614,,,,,,419,,817,,,,
4/11/20,5924,98308,11762,193615,,,,,9946,180458,23095,440980,2538,,758,9385,,322,,627,,,,,,427,,839,,,,
4/12/20,4900,103208,10783,204398,,,,,8236,188694,20621,461601,1958,,671,10056,,344,,672,,,,,,476,,910,,,,
4/13/20,3555,106763,8053,212451,,,,,6337,195031,16756,478357,1649,,778,10834,,351,,686,,,,,,487,,929,,,,
4/14/20,3702,110465,8710,221161,,,,,7177,202208,20786,499143,2253,,752,11586,,364,,707,,,,,,496,,949,,,,
4/15/20,7837,118302,16210,237371,,,,,11571,213779,26869,526012,1996,,606,12192,,374,,735,,,,,,599,,1100,,,,
4/16/20,4844,123146,12524,249895,,,,,8505,222284,24567,550579,1974,,630,12822,,388,,770,,,,,,612,,1142,,,,
4/17/20,4206,127352,11756,261651,,,,,7358,229642,22644,573223,1915,,540,13362,,398,,808,,,,,,633,,1183,,,,
4/18/20,3911,131263,11651,273302,,,,,7090,236732,23309,596532,1384,,507,13869,,406,,845,,,,,,640,,1215,,,,
4/19/20,3173,134436,10271,283573,,,,,6054,242786,21023,617555,1380,,478,14347,,423,,881,,,,,,654,,1244,,,,
4/20/20,2519,139325,8829,300200,,,,,4178,251690,15464,649325,1337,,481,14828,,429,,904,,,,,,661,,1266,,,,
4/21/20,3107,142432,11255,311455,,,,,5526,257216,20657,669982,1381,,474,15302,,440,,936,,,,,,667,,1290,,,,
4/22/20,3423,145855,13364,324819,,,,,6244,263460,25938,695920,1359,,438,15740,,444,,952,,,,,,671,,1296,,,,
4/23/20,4618,150473,18115,342934,,,,,8130,271590,34736,730656,1148,,422,16162,,460,,1024,,,,,,690,,1387,,,,
4/24/20,4640,155113,17238,360172,,,,,10553,282143,46912,777568,1045,,437,16599,,475,,1080,,,,,,714,,1449,,,,
4/25/20,3145,158258,13564,373736,,,,,5902,288045,27782,805350,1068,,367,16966,,480,,1122,,,,,,728,,1526,,,,
4/26/20,2231,160489,10541,384277,,,,,3951,291996,20745,826095,1043,,337,17303,,562,,1308,,,,,,871,,1818,,,,
4/27/20,1849,162338,9892,394169,,,,,3110,295106,18899,844994,748,,335,17638,,493,,1171,,,,,,759,,1635,,,,
4/28/20,2503,164841,14067,408236,,,,,4585,299691,27487,872481,1080,,377,18015,,502,,1212,,,,,,776,,1683,,,,
4/29/20,2637,167478,14262,422498,,,,,4681,304372,28155,900636,,,306,18321,,509,,1239,,,,,,783,,1741,,,,
4/30/20,,,,,,,,,,,,,,,,,,520,,1277,,,,,,798,,1803,,,,
