10001,-73.997137,7.5
10002,6106,51339
10003,2927,42987
10004,252,3825
10005,429,6602
10006,168,2715
10007,387,6715
10009,3758,40781
10010,1750,29907
10011,2623,37467
10012,1308,18611
10013,1711,23944
10014,1601,24083
10016,3173,42341
10017,844,13273
10018,594,11038
10019,-73.985974,7.23
10021,2216,33427
10022,1513,23484
10023,2704,43729
10024,2684,43916
10025,5170,72280
10026,2679,25165
10027,4029,41822
10028,2110,31719
10029,6602,54582
10030,2211,18506
10031,4768,37020
10032,5478,40266
10033,4884,36210
10034,3678,25826
10035,3166,25017
10036,1889,24897
10037,1529,13843
10038,1365,15777
10039,1991,16145
10040,4265,29429
10044,568,7323
10065,1444,23511
10069,397,5857
10075,-73.955884,8.12
10128,2972,43398
10280,325,5543
10282,198,4102
10301,4570,28691
10302,2444,13345
10303,3263,18903
10304,5597,32732
10305,5655,29862
10306,7608,40465
10307,2032,10374
10308,3767,20026
10309,4627,24224
10310,2833,17807
10312,7790,43235
10314,11220,62422
10451,5061,35013
10452,8296,51397
10453,8485,52158
10454,3967,26342
10455,4339,28333
10456,8298,58997
10457,7464,49792
10458,8149,50543
10459,5132,34984
10460,6200,38817
10461,5724,35440
10462,7795,50841
10463,6542,48186
10464,397,3085
10465,4822,30339
10466,6838,45386
10467,10770,69277
10468,8843,52239
10469,7155,47899
10470,1592,10133
10471,2005,18297
10472,6945,44362
10473,6508,42375
10474,1122,7607
10475,3743,27798
11004,-73.710907,12.86
11101,2821,30978
11102,2731,22903
11103,2852,24940
11104,1973,17503
11105,2714,23029
11106,3104,25900
11109,367,4977
11201,2975,48610
11203,6144,44848
11204,7541,47454
11205,2990,29690
11206,7080,56696
11207,8916,60603
11208,10578,62002
11209,5452,45305
11210,5582,37922
11211,-73.953851,11.14
11212,7674,51567
11213,5414,41915
11214,8467,54892
11215,2856,46523
11216,3331,36727
11217,-73.97938,7.38
11218,6414,49744
11219,8640,60613
11220,9318,59965
11221,6326,53550
11222,2273,28098
11223,9604,51428
11224,5680,31589
11225,4022,36168
11226,7622,60694
11228,4010,26064
11229,9027,52518
11230,11380,63961
11231,1933,25749
11232,2623,19792
11233,5231,42983
11234,7864,53855
11235,10195,55110
11236,7819,55939
11237,4027,32063
11238,3123,40106
11239,1657,9696
11354,4854,35605
11355,8183,49690
11356,2466,15984
11357,3597,25858
11358,2624,22361
11360,1356,11609
11361,1840,16262
11362,1140,10289
11363,402,4198
11364,2167,19477
11365,3378,25576
11366,1253,8318
11367,3897,26310
11368,11989,78258
11369,4639,28287
11370,3677,20944
11372,6817,46888
11373,9939,65033
11374,4422,28735
11375,5635,45350
11377,9230,61067
11378,3250,22732
11379,3525,23787
11385,10070,63290
11411,1657,11559
11412,3454,23337
11413,3600,24895
11414,3042,17363
11415,1844,13140
11416,3120,17276
11417,3568,20133
11418,4236,24392
11419,5905,30295
11420,5555,29794
11421,4918,26216
11422,2932,19167
11423,3215,20366
11426,1775,11278
11427,2267,14963
11428,1988,12075
11429,2809,18386
11432,6084,39203
11433,3254,22434
11434,5841,41830
11435,5678,34790
11436,1950,12122
11691,7625,46747
11692,1865,13498
11693,1141,7565
11694,2280,14494
11697,571,3745
